Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
8-June-2020,655.00,657.70,633.50,635.25,640.406202878966406565,242726,4542,155443236.00,68089,28.05,24.20,-19.75
5-June-2020,663.00,669.65,649.05,651.10,657.393429367194753077,166955,4135,109755120.00,37141,22.25,20.60,-11.90
4-June-2020,644.00,665.00,644.00,660.90,655.621027350724454486,316445,6476,207467996.00,72093,22.78,21.00,16.90
3-June-2020,646.10,649.40,635.45,641.45,644.050999689617712482,154648,3187,99601199.00,33248,21.50,13.95,-4.65
2-June-2020,648.95,658.25,636.25,637.45,646.121492634200625298,301936,5983,195087339.00,85645,28.37,22.00,-11.50
1-June-2020,651.00,652.25,634.80,642.05,641.874669390340176711,224207,4973,143912794.00,48869,21.80,17.45,-8.95
29-May-2020,635.00,651.00,632.05,647.60,645.470280089290854083,781715,7686,504573800.00,80805,10.34,18.95,12.60
28-May-2020,635.90,637.45,626.35,628.30,631.129791876468613628,119160,2631,75205426.00,25007,20.99,11.10,-7.60
27-May-2020,631.70,637.50,625.90,632.90,632.583834883204657013,162164,4070,102582325.00,22973,14.17,11.60,1.20
26-May-2020,640.00,646.80,624.25,627.85,635.066502938062571090,254079,6610,161357062.00,67600,26.61,22.55,-12.15
22-May-2020,617.95,641.80,610.05,639.00,629.480914023920839670,319554,7697,201153144.00,66983,20.96,31.75,21.05
21-May-2020,620.15,626.60,612.70,616.45,619.079174299201752414,209083,5017,129438931.00,32264,15.43,13.90,-3.70
20-May-2020,595.00,623.95,595.00,620.35,612.934333389347171259,398711,11217,244383661.00,83850,21.03,28.95,25.35
