Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-October-2020,424.20,424.20,404.40,408.10,410.715925205623759166,493620,6952,202737595.00,77166,15.63,19.80,-16.10
23-October-2020,412.00,425.90,412.00,423.35,420.529281373207306785,1161660,19213,488512045.00,334647,28.81,13.90,11.35
22-October-2020,402.80,413.35,400.10,409.95,408.128630801916784268,515864,7492,210538868.00,47891,9.28,13.25,7.15
21-October-2020,395.50,407.80,394.60,403.90,402.373589828676987657,834739,12597,335876928.00,119732,14.34,13.20,8.40
20-October-2020,393.30,397.40,389.75,392.00,392.871160460328227831,252081,4255,99035355.00,32256,12.80,7.65,-1.30
19-October-2020,396.60,400.00,391.55,395.30,395.881835182294962106,568968,10263,225244096.00,156349,27.48,8.45,-1.30
16-October-2020,375.60,395.75,375.45,393.85,387.246474250718532727,941502,12826,364593330.00,149828,15.91,20.30,18.25
15-October-2020,380.45,388.50,371.60,373.75,381.354467985847268652,1577646,21507,601642351.00,268574,17.02,16.90,-6.70
14-October-2020,371.40,377.00,369.75,375.55,372.585498862958956130,362344,5277,135004120.00,58360,16.11,7.25,4.15
13-October-2020,372.50,376.30,361.75,367.50,370.711746528381327616,517770,4627,191943421.00,70792,13.67,14.55,-5.00
12-October-2020,374.55,377.20,362.55,371.00,368.750938132564354250,638769,8541,235546668.00,84075,13.16,14.65,-3.55
9-October-2020,375.20,386.90,367.30,369.75,378.099575218002111440,601485,8126,227421223.00,85680,14.24,19.60,-5.45
8-October-2020,372.25,382.90,371.90,373.55,377.538507844742964678,368782,5097,139229406.00,45429,12.32,11.00,1.30
7-October-2020,378.50,379.05,369.70,370.80,373.419909993556472193,197097,3069,73599944.00,53580,27.18,9.35,-7.70
6-October-2020,385.20,387.00,373.20,377.35,378.812166372265465768,412136,5207,156122131.00,70719,17.16,13.80,-7.85
5-October-2020,369.00,385.25,369.00,382.15,380.855436200295398732,903186,13381,343983298.00,237325,26.28,16.25,13.15
1-October-2020,364.90,370.15,363.45,364.95,366.712731229597388465,246292,3794,90318412.00,35019,14.22,6.70,0.05
30-September-2020,371.50,371.50,358.00,359.75,363.325757575757575757,315876,4813,114765887.00,57815,18.30,13.50,-11.75
29-September-2020,363.60,371.60,361.80,370.00,366.778033717158855641,398966,6120,146331965.00,37171,9.32,9.80,6.40
28-September-2020,359.00,364.85,356.00,360.95,360.374390491128111562,374892,5577,135101476.00,41310,11.02,8.85,1.95
25-September-2020,348.95,355.80,344.40,351.90,350.603877879425255315,315688,5376,110681437.00,43462,13.77,11.40,2.95
24-September-2020,359.00,359.00,343.00,343.85,349.534222222222222222,380250,7079,132910388.00,81631,21.47,16.00,-15.15
23-September-2020,376.00,377.55,356.70,361.25,362.465902091644606837,670525,11750,243042449.00,128809,19.21,20.85,-14.75
22-September-2020,374.90,378.65,358.20,374.20,369.870318744614117611,602269,10236,222761427.00,63336,10.52,20.45,-0.70
21-September-2020,395.25,399.00,371.00,373.25,383.171747846453098328,503820,7916,193049590.00,123613,24.54,28.00,-22.00
18-September-2020,402.00,405.50,393.45,395.30,400.148023005497098454,464063,6419,185693892.00,94868,20.44,12.05,-6.70
17-September-2020,404.00,407.40,393.40,398.70,398.817826984224451166,374567,6352,149383997.00,55338,14.77,14.00,-5.30
16-September-2020,406.90,410.00,402.60,404.55,405.662385888122232691,197394,3756,80075321.00,41300,20.92,7.40,-2.35
15-September-2020,407.00,410.30,403.70,405.25,406.615714930594740999,354440,4094,144120874.00,58160,16.41,6.60,-1.75
14-September-2020,409.05,414.00,402.30,404.20,407.655622070350670944,332591,5370,135582591.00,72944,21.93,11.70,-4.85
11-September-2020,409.95,412.30,402.60,407.40,407.096957217482515398,335581,5346,136614004.00,45598,13.59,9.70,-2.55
10-September-2020,424.00,425.65,401.25,407.90,412.107063936619968499,844430,11291,347995568.00,125284,14.84,24.40,-16.10
9-September-2020,397.75,420.00,386.70,417.25,406.598807991336839693,1213414,13445,493372686.00,84541,6.97,33.30,19.50
8-September-2020,425.00,425.45,402.30,404.95,413.405465019328431744,395790,5767,163621749.00,79250,20.02,23.15,-20.05
7-September-2020,425.50,428.25,418.55,422.40,423.130935297054810947,254347,3981,107622084.00,30087,11.83,9.70,-3.10
4-September-2020,427.05,433.75,419.15,421.30,427.498986408919601507,357146,5380,152679553.00,66248,18.55,14.60,-5.75
3-September-2020,441.65,443.75,436.00,437.85,439.003263141642319294,336792,5461,147852787.00,82802,24.59,7.75,-3.80
2-September-2020,429.00,441.55,427.15,438.85,434.257746296055925383,539290,9103,234190860.00,210223,38.98,14.40,9.85
1-September-2020,413.00,432.40,412.00,429.00,422.425505473117879678,645336,10701,272606386.00,169954,26.34,20.40,16.00
31-August-2020,426.10,430.05,410.50,413.20,420.161177945851640036,531909,7178,223487512.00,83887,15.77,19.55,-12.90
28-August-2020,429.80,437.90,423.10,424.10,429.171296072400934289,765073,7825,328347371.00,102688,13.42,14.80,-5.70
27-August-2020,425.10,430.20,423.10,426.85,426.011338612191350794,277459,4164,118200680.00,44228,15.94,7.10,1.75
26-August-2020,424.90,427.55,422.15,424.95,424.740524254704216327,293407,4851,124621843.00,73715,25.12,5.40,0.05
25-August-2020,430.60,432.50,421.50,424.05,426.076459072351248243,358584,5082,152784201.00,69508,19.38,11.00,-6.55
24-August-2020,431.55,437.50,428.05,429.45,431.826637980478238231,378347,5804,163380313.00,104975,27.75,9.45,-2.10
21-August-2020,436.70,442.00,426.60,428.90,435.471893580876107268,593352,7086,258388119.00,70057,11.81,15.40,-7.80
20-August-2020,425.00,438.25,423.05,432.40,432.512526758046997750,663819,9751,287110033.00,133163,20.06,15.20,7.40
19-August-2020,435.00,435.50,429.00,431.80,431.590521691456563685,561788,8936,242462376.00,112133,19.96,6.50,-3.20
18-August-2020,422.10,436.50,419.90,434.75,428.743479312915104520,719096,9956,308307721.00,112618,15.66,16.60,12.65
17-August-2020,418.50,429.00,414.20,424.95,423.716266624783337914,713092,9836,302148680.00,68916,9.66,14.80,6.45
14-August-2020,408.80,430.80,408.80,418.45,420.032142225530966909,2482311,28623,1042650407.00,325352,13.11,22.00,9.65
13-August-2020,417.05,421.65,408.95,413.25,413.487144876465786696,753435,9718,311535687.00,163907,21.75,12.70,-3.80
12-August-2020,414.45,417.45,407.55,414.75,412.795465880639594617,401004,5513,165532633.00,52911,13.19,9.90,0.30
